"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 13:36:34 GMT 2021","Thu Oct 14 13:36:34 GMT 2021","470","","org.neonlabs.compatibility.ConnectionKtTest","","org.neonlabs.compatibility.ConnectionKtTest","shouldConnectToNetwork","shouldConnectToNetwork()","Connection"
"passed","Thu Oct 14 13:33:32 GMT 2021","Thu Oct 14 13:33:32 GMT 2021","1","","Nethereum","","NeonCompatibility.Tests.org.neonlabs.compatibility.ConnectionTest","Subprojects are filled in","Subprojects are filled in",""
"passed","Thu Oct 14 13:36:35 GMT 2021","Thu Oct 14 13:36:35 GMT 2021","8","","org.neonlabs.compatibility.ConnectionTest","","org.neonlabs.compatibility.ConnectionTest","probe","probe()","allure description"
"passed","Thu Oct 14 13:33:32 GMT 2021","Thu Oct 14 13:33:32 GMT 2021","767","","Nethereum","","NeonCompatibility.Tests.org.neonlabs.compatibility.ConnectionTest","GetBalance Async","GetBalance Async",""
"passed","Thu Oct 14 13:36:34 GMT 2021","Thu Oct 14 13:36:34 GMT 2021","491","","org.neonlabs.compatibility.ConnectionTest","","org.neonlabs.compatibility.ConnectionTest","shouldConnectToNetwork","shouldConnectToNetwork()","Connection web3j"
"passed","Thu Oct 14 13:33:32 GMT 2021","Thu Oct 14 13:33:32 GMT 2021","1","","Nethereum","","NeonCompatibility.Tests.org.neonlabs.compatibility.ConnectionTest","Connection test","Connection test",""
"passed","Thu Oct 14 13:36:35 GMT 2021","Thu Oct 14 13:36:35 GMT 2021","4","","org.neonlabs.compatibility.ConnectionKtTest","","org.neonlabs.compatibility.ConnectionKtTest","shouldWork","shouldWork()","allure description"
"passed","Thu Oct 14 13:33:32 GMT 2021","Thu Oct 14 13:33:32 GMT 2021","117","","Nethereum","","NeonCompatibility.Tests.org.neonlabs.compatibility.ConnectionTest","Initial balance","Initial balance",""
