"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 30 10:32:50 GMT 2021","Sat Oct 30 10:32:50 GMT 2021","0","","Contract: ERC1967Proxy","","Contract: ERC1967Proxy","""before all"" hook: deploy implementation for ""cannot be initialized with a non-contract address""","""before all"" hook: deploy implementation for ""cannot be initialized with a non-contract address""",""
"passed","Sat Oct 30 10:07:03 GMT 2021","Sat Oct 30 10:07:03 GMT 2021","8","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"broken","Sat Oct 30 10:47:15 GMT 2021","Sat Oct 30 10:47:27 GMT 2021","11430","","Contract: EnumerableSet EnumerableAddressSet","","Contract: EnumerableSet EnumerableAddressSet","starts empty","starts empty",""
"broken","Sat Oct 30 10:37:12 GMT 2021","Sat Oct 30 10:37:24 GMT 2021","11954","","Contract: ERC20Snapshot snapshot","","Contract: ERC20Snapshot snapshot","emits a snapshot event","emits a snapshot event",""
"broken","Sat Oct 30 10:42:51 GMT 2021","Sat Oct 30 10:43:00 GMT 2021","9600","","Contract: Counters","","Contract: Counters","starts at zero","starts at zero",""
"skipped","Sat Oct 30 10:07:03 GMT 2021","Sat Oct 30 10:07:03 GMT 2021","0","tests.brownie","test_brownie","","","","test_one",""
"broken","Sat Oct 30 10:33:19 GMT 2021","Sat Oct 30 10:33:27 GMT 2021","8972","","Contract: Initializable complex testing with inheritance","","Contract: Initializable complex testing with inheritance","initializes human","initializes human",""
"broken","Sat Oct 30 10:29:15 GMT 2021","Sat Oct 30 10:29:26 GMT 2021","11162","","Contract: VestingWallet","","Contract: VestingWallet","rejects zero address for beneficiary","rejects zero address for beneficiary",""
"broken","Sat Oct 30 10:40:25 GMT 2021","Sat Oct 30 10:40:40 GMT 2021","14772","","Contract: ERC721URIStorage token URI","","Contract: ERC721URIStorage token URI","it is empty by default","it is empty by default",""
"broken","Sat Oct 30 10:31:11 GMT 2021","Sat Oct 30 10:31:34 GMT 2021","23205","","Contract: TimelockController","","Contract: TimelockController","initial state","initial state",""
"broken","Sat Oct 30 10:47:52 GMT 2021","Sat Oct 30 10:48:03 GMT 2021","10668","","Contract: TimersTimestamp","","Contract: TimersTimestamp","unset","unset",""
